epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,489.45,0.78861,0.86944,0.93851,0.99578,1,0.995,0.8839,0.57352,0.7104,0.78123,0.00044075,0.00044075,0.00044075
65,496.725,0.84776,0.81472,0.91912,0.99578,1,0.995,0.8839,0.57352,0.7104,0.78123,0.000416,0.000416,0.000416
66,504.086,0.72122,0.80238,0.93422,0.99572,1,0.995,0.87473,0.53766,0.68883,0.77769,0.00039125,0.00039125,0.00039125
67,511.298,0.87889,0.90122,0.99362,0.99572,1,0.995,0.87473,0.53766,0.68883,0.77769,0.0003665,0.0003665,0.0003665
68,518.834,0.76119,0.82925,0.95662,0.99559,1,0.995,0.88052,0.50338,0.69422,0.78186,0.00034175,0.00034175,0.00034175
69,526.086,0.76369,0.84212,0.90564,0.99559,1,0.995,0.88052,0.50338,0.69422,0.78186,0.000317,0.000317,0.000317
70,533.479,0.77214,0.84031,0.94389,0.99566,1,0.995,0.89514,0.4795,0.69432,0.78247,0.00029225,0.00029225,0.00029225
71,540.816,0.83551,1.03515,0.93607,0.99566,1,0.995,0.89514,0.4795,0.69432,0.78247,0.0002675,0.0002675,0.0002675
72,548.941,0.69859,1.04602,0.89558,0.99576,1,0.995,0.8885,0.48602,0.6828,0.78221,0.00024275,0.00024275,0.00024275
73,556.183,0.81576,1.08019,0.9661,0.99576,1,0.995,0.8885,0.48602,0.6828,0.78221,0.000218,0.000218,0.000218
74,563.473,0.70754,1.00269,0.89948,0.99587,1,0.995,0.88569,0.51576,0.69444,0.78436,0.00019325,0.00019325,0.00019325
75,572.395,0.74406,1.0898,0.93911,0.99587,1,0.995,0.88569,0.51576,0.69444,0.78436,0.0001685,0.0001685,0.0001685
76,580.498,0.73228,1.03605,0.89041,0.99584,1,0.995,0.88516,0.51519,0.71153,0.78409,0.00014375,0.00014375,0.00014375
77,588.283,0.69192,0.95797,0.93061,0.99584,1,0.995,0.88516,0.51519,0.71153,0.78409,0.000119,0.000119,0.000119
78,595.697,0.69129,0.95911,0.92304,0.99592,1,0.995,0.89342,0.50277,0.72656,0.78093,9.425e-05,9.425e-05,9.425e-05
79,603.094,0.60974,0.89486,0.84167,0.99592,1,0.995,0.89342,0.50277,0.72656,0.78093,6.95e-05,6.95e-05,6.95e-05
80,610.615,0.64142,0.92907,0.87138,0.99587,1,0.995,0.90683,0.49501,0.71871,0.77829,4.475e-05,4.475e-05,4.475e-05
